"split_width_days","spline_df","n_rows","n_subjects","n_events","loglik_ns","loglik_const","LRT_stat","df_diff","p_value"
7,3,710479,24092,788,-389.306503341114,-440.406969894071,102.200933105914,3,5.22643536275943e-22
7,4,710479,24092,788,-389.208062994051,-440.406969894071,102.39781380004,4,3.03569868399402e-21
7,5,710479,24092,788,-388.512569851799,-440.406969894071,103.788800084545,5,8.39623554789271e-21
14,3,369768,24092,788,-390.000409790153,-440.406969894071,100.813120207836,3,1.03909023212955e-21
14,4,369768,24092,788,-389.797636163581,-440.406969894071,101.218667460981,4,5.41220054242756e-21
14,5,369768,24092,788,-388.947634504533,-440.406969894071,102.918670779077,5,1.28130164977074e-20
30,3,187831,24092,788,-391.480403121945,-440.406969894071,97.8531335442519,3,4.49843632045101e-21
30,4,187831,24092,788,-390.999238987189,-440.406969894071,98.8154618137652,4,1.75789225206986e-20
30,5,187831,24092,788,-389.873471814224,-440.406969894071,101.066996159694,5,3.1487617714485e-20
